Day,Date,Platform,Content_Pillar,Format,Topic,Primary_CTA,Goal
1,2026-03-01,Facebook/Instagram,Xbox Repair,Image,Xbox HDMI No Signal Fix,WhatsApp Quote,Leads
2,2026-03-02,X,Quick Tip,Text,PS5 Overheating Prevention Tip,Visit Website,Traffic
3,2026-03-03,Facebook/Instagram,Social Proof,Image,Customer Testimonial - PS4 Repair,WhatsApp Quote,Trust
4,2026-03-04,Instagram,Education,Reel,Controller Stick Drift Repair Before/After,DM for Price,Leads
5,2026-03-05,Facebook/Instagram,Offer,Image,Free Basic Diagnosis Announcement,WhatsApp Quote,Leads
6,2026-03-06,X,Education,Thread,PS5 vs PS4 Common Repair Problems,Visit Website,Authority
7,2026-03-07,Facebook/Instagram,Behind the Scenes,Image,Workbench Setup + Tools,Follow Page,Brand
8,2026-03-08,Facebook/Instagram,PlayStation Repair,Carousel,PS3/PS4/PS5 Services Overview,WhatsApp Quote,Leads
9,2026-03-09,X,Quick Tip,Text,How to Protect HDMI Port,Visit Website,Traffic
10,2026-03-10,Instagram,Reel,Reel,PS5 Cleaning and Thermal Maintenance,DM for Booking,Leads
11,2026-03-11,Facebook,Shop,Image,Gaming Accessory Highlight,Shop Page,Sales
12,2026-03-12,X,Update,Text,Firmware Support Page Promotion,Visit Website,Traffic
13,2026-03-13,Facebook/Instagram,Education,Image,Signs Your Console Needs Service,WhatsApp Quote,Leads
14,2026-03-14,Instagram,Social Proof,Story,Happy Customer Delivery Moment,DM for Booking,Trust
15,2026-03-15,Facebook/Instagram,Offer,Image,Weekend Fast-Track Repair Slots,WhatsApp Quote,Leads
16,2026-03-16,X,Quick Tip,Text,Safe Console Storage Tips,Follow + Visit,Engagement
17,2026-03-17,Facebook/Instagram,Xbox Repair,Carousel,Xbox One and Series Service List,WhatsApp Quote,Leads
18,2026-03-18,Instagram,Reel,Reel,HDMI Port Microsoldering Clip,DM for Repair,Authority
19,2026-03-19,Facebook,Education,Image,How Dust Causes Overheating,Book Cleaning,Leads
20,2026-03-20,X,Thread,Text,Buying Used Console Checklist,Visit Website,Traffic
21,2026-03-21,Facebook/Instagram,Shop,Image,Controller Sale/Availability Post,Shop Page,Sales
22,2026-03-22,Instagram,Reel,Reel,No Power Console Diagnosis Start,DM for Quote,Leads
23,2026-03-23,Facebook/Instagram,Social Proof,Image,Repair Before/After Collage,WhatsApp Quote,Trust
24,2026-03-24,X,Quick Tip,Text,Controller Battery Life Tips,Follow + Visit,Engagement
25,2026-03-25,Facebook/Instagram,Education,Carousel,Console Maintenance Checklist,Save Post,Engagement
26,2026-03-26,Instagram,Reel,Reel,Disc Drive Error Fix Clip,DM for Booking,Leads
27,2026-03-27,Facebook/Instagram,Offer,Image,Limited Slots This Weekend,WhatsApp Quote,Urgency
28,2026-03-28,X,Brand,Text,Why Choose Akku Electronics,WhatsApp Quote,Trust
29,2026-03-29,Facebook/Instagram,Website Promo,Image,Blog Promotion,Visit Website,Traffic
30,2026-03-30,All Platforms,Recap,Image/Thread,Month End Results + Thank You,Book Service,Leads
